NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,1,1
1584,1,1,1
1584,2,1,1
1584,3,1,1
1584,4,1,1
1584,5,1,1
1584,6,1,1
1584,7,1,1
1584,8,1,1
1584,9,1,1
1584,10,1,1
1584,11,1,1
1584,12,1,1
1584,13,1,1
1584,14,1,1
1584,15,1,1
1584,16,1,1
1584,17,1,1
1584,18,1,1
1584,19,1,1
1584,20,1,1
1584,21,1,1
1584,22,1,1
1584,23,1,1
1584,24,1,1
1584,25,1,1
1584,26,1,1
1584,27,1,1
1584,28,1,1
1584,29,1,1
1584,30,1,1
1584,31,1,1
1584,32,1,1
1584,33,1,1
1584,34,1,1
1584,35,1,1
1584,36,1,1
1584,37,1,1
1584,38,1,1
1584,39,1,1
1584,40,1,1
1584,41,1,1
1584,42,1,1
1584,43,1,1
1584,44,1,1
1584,45,1,1
1584,46,1,1
1584,47,1,1
1584,48,1,1
1584,49,1,1
1584,50,1,1
1584,51,1,1
1584,52,1,1
1584,53,1,1
1584,54,1,1
1584,55,1,1
1584,56,1,1
1584,57,1,1
1584,58,1,1
1584,59,1,1
1584,60,1,1
1584,61,1,1
1584,62,1,1
1584,63,1,1
1584,64,1,1
1584,65,1,1
1584,66,1,1
1584,67,1,1
1584,68,1,1
1584,69,1,1
1584,70,1,1
1584,71,1,1
1584,72,1,1
1584,73,1,1
1584,74,1,1
1584,75,1,1
1584,76,1,1
1584,77,1,1
1584,78,1,1
1584,79,1,1
1584,80,1,1
1584,81,1,1
1584,82,1,1
1584,83,1,1
1584,84,1,1
1584,85,1,1
1584,86,1,1
1584,87,1,1
1584,88,1,1
1584,89,1,1
1584,90,1,1
1584,91,1,1
1584,92,1,1
1584,93,1,1
1584,94,1,1
1584,95,1,1
1584,96,1,1
1584,97,1,1
1584,98,1,1
1584,99,1,1
1518,0,1,1
1518,1,1,1
1518,2,1,1
1518,3,1,1
1518,4,1,1
1518,5,1,1
1518,6,1,1
1518,7,1,1
1518,8,1,1
1518,9,1,1
1518,10,1,1
1518,11,1,1
1518,12,1,1
1518,13,1,1
1518,14,1,1
1518,15,1,1
1518,16,1,1
1518,17,1,1
1518,18,1,1
1518,19,1,1
1518,20,1,1
1518,21,1,1
1518,22,1,1
1518,23,1,1
1518,24,1,1
1518,25,1,1
1518,26,1,1
1518,27,1,1
1518,28,1,1
1518,29,1,1
1518,30,1,1
1518,31,1,1
1518,32,1,1
1518,33,1,1
1518,34,1,1
1518,35,1,1
1518,36,1,1
1518,37,1,1
1518,38,1,1
1518,39,1,1
1518,40,1,1
1518,41,1,1
1518,42,1,1
1518,43,1,1
1518,44,1,1
1518,45,1,1
1518,46,1,1
1518,47,1,1
1518,48,1,1
1518,49,1,1
1518,50,1,1
1518,51,1,1
1518,52,1,1
1518,53,1,1
1518,54,1,1
1518,55,1,1
1518,56,1,1
1518,57,1,1
1518,58,1,1
1518,59,1,1
1518,60,1,1
1518,61,1,1
1518,62,1,1
1518,63,1,1
1518,64,1,1
1518,65,1,1
1518,66,1,1
1518,67,1,1
1518,68,1,1
1518,69,1,1
1518,70,1,1
1518,71,1,1
1518,72,1,1
1518,73,1,1
1518,74,1,1
1518,75,1,1
1518,76,1,1
1518,77,1,1
1518,78,1,1
1518,79,1,1
1518,80,1,1
1518,81,1,1
1518,82,1,1
1518,83,1,1
1518,84,1,1
1518,85,1,1
1518,86,1,2
1518,87,1,1
1518,88,1,1
1518,89,1,1
1518,90,1,1
1518,91,1,1
1518,92,1,1
1518,93,1,1
1518,94,1,1
1518,95,1,1
1518,96,1,1
1518,97,1,1
1518,98,1,1
1518,99,1,1
1452,0,1,1
1452,1,1,1
1452,2,1,1
1452,3,1,1
1452,4,1,1
1452,5,1,1
1452,6,1,1
1452,7,1,1
1452,8,1,1
1452,9,1,1
1452,10,1,1
1452,11,1,1
1452,12,1,1
1452,13,1,1
1452,14,1,2
1452,15,1,1
1452,16,1,2
1452,17,1,1
1452,18,1,1
1452,19,1,1
1452,20,1,1
1452,21,1,1
1452,22,1,1
1452,23,1,1
1452,24,1,1
1452,25,1,1
1452,26,1,1
1452,27,1,1
1452,28,1,1
1452,29,1,1
1452,30,1,1
1452,31,1,2
1452,32,1,1
1452,33,1,1
1452,34,1,1
1452,35,1,1
1452,36,1,1
1452,37,1,1
1452,38,1,1
1452,39,1,1
1452,40,1,1
1452,41,1,1
1452,42,1,1
1452,43,1,1
1452,44,1,1
1452,45,1,1
1452,46,1,1
1452,47,1,2
1452,48,1,1
1452,49,1,2
1452,50,1,1
1452,51,1,1
1452,52,1,1
1452,53,1,1
1452,54,1,1
1452,55,1,1
1452,56,1,1
1452,57,1,1
1452,58,1,1
1452,59,1,1
1452,60,1,1
1452,61,1,1
1452,62,1,1
1452,63,1,1
1452,64,1,1
1452,65,1,1
1452,66,1,1
1452,67,1,1
1452,68,1,1
1452,69,1,1
1452,70,1,1
1452,71,1,1
1452,72,1,1
1452,73,1,1
1452,74,1,1
1452,75,1,1
1452,76,1,1
1452,77,1,1
1452,78,1,1
1452,79,1,1
1452,80,1,1
1452,81,1,1
1452,82,1,1
1452,83,1,1
1452,84,1,1
1452,85,1,1
1452,86,1,1
1452,87,1,1
1452,88,1,1
1452,89,1,1
1452,90,1,1
1452,91,1,1
1452,92,1,1
1452,93,1,1
1452,94,1,1
1452,95,1,1
1452,96,1,2
1452,97,1,1
1452,98,1,1
1452,99,1,1
1386,0,1,1
1386,1,1,1
1386,2,1,2
1386,3,1,1
1386,4,1,1
1386,5,1,1
1386,6,1,1
1386,7,1,1
1386,8,1,2
1386,9,1,1
1386,10,1,1
1386,11,1,2
1386,12,1,1
1386,13,1,1
1386,14,1,2
1386,15,1,1
1386,16,1,1
1386,17,1,2
1386,18,1,1
1386,19,1,1
1386,20,1,1
1386,21,1,1
1386,22,1,1
1386,23,1,1
1386,24,1,2
1386,25,1,3
1386,26,1,1
1386,27,1,1
1386,28,1,1
1386,29,1,1
1386,30,1,1
1386,31,1,1
1386,32,1,2
1386,33,1,1
1386,34,1,1
1386,35,1,1
1386,36,1,1
1386,37,1,2
1386,38,1,1
1386,39,1,3
